,기간,해장국,순두부찌개,삼겹살,짜장면,치킨,라면,김치찌개,부대찌개,간장게장,떡볶이,곱창,삼계탕,비빔밥,김밥,감자탕,해물파전,짬뽕,순대,콩국수,칼국수,설렁탕,떡국,된장찌개,갈비,춘천 닭갈비,보쌈,아귀찜,잡채,두부김치,호박죽,계란찜,냉면,도토리묵,추어탕,불고기,낙지볶음,빙수
0,2021-01-01,8.97967,8.47154,15.74796,6.28861,66.31707,9.126011365095135,10.995932510177385,16.52032387527252,15.499998200875106,28.91873521501926,15.17887626123235,6.5934628209242625,5.020291559691913,16.825195953663425,16.69511944808044,4.711373615089347,7.886171951441465,4.0934900471833835,0.451208970597734,12.613822347659623,7.268281193971568,407.55322175759926,8.008126290756008,4.3211144743112495,14.024386333995631,7.715445537603127,2.7357672570578906,27.53253637579754,4.130071850890411,3.7845500978151554,15.918698092829146,5.365849461083113,1.788613584351094,8.134141101192695,4.825196337084116,17.792680806843183,0.837390363455949
1,2021-01-02,7.31707,11.15447,16.76016,7.24796,56.10162,10.410564345703545,13.829265777605196,19.613821932737928,15.288614962247246,31.31306561938383,18.82523520539153,7.256103610397947,5.414599958279846,21.86584766698082,18.089425443524178,5.386175560975914,7.853652825045719,4.983741586970692,0.4918582185409841,13.365857013059845,5.589424812705161,64.10167450780672,11.443066433720816,4.678823945311014,13.422756254139355,7.211380904981427,3.109748976512654,24.020350967491684,5.00407141565591,3.760159079271731,21.886177549000937,6.71544177197012,3.2642219222782485,7.40649751597253,4.93495244257145,19.756096928763895,0.5894227761414128
2,2021-01-03,7.9878,12.46747,17.33739,7.78455,51.80081,11.04877657776052,16.191054500515214,19.829267687539183,15.691054922045328,34.2520981097561,19.19106359114249,7.6585366752246475,6.154468758023107,21.101621464969828,16.97967182843483,5.101616497693782,9.178857347630432,5.605693943262495,0.5406420317629022,14.304868787618988,6.065049307781295,32.76828925480165,12.894281979278478,4.8820707416965465,10.012187794398642,6.4634174660719,2.6300715621596624,20.666682477932444,5.150394725268168,4.674794320784343,24.999999320971053,6.105686638468729,3.101621908683492,7.150401551678832,4.849586313551844,23.23170855103954,0.6788543050331608
3,2021-01-04,3.60162,12.54471,14.48373,6.1626,36.04471,10.223573624854383,12.353656075826565,16.329267154102297,14.052843533048573,25.268313937740697,18.394322127727854,5.6015983247753525,6.317049444801027,17.08942555075241,11.975602461580712,3.0447115824215603,5.695113944663243,4.585360094366768,0.4959372904053594,9.24389594798377,4.6016292249241015,18.252017511590196,11.999987924117507,3.788605422461766,7.898331450278242,6.235759056229393,1.7764124283519074,16.101640155156723,5.398366942467688,2.902432826013072,19.715448053930928,4.101623173837563,2.491866775182102,5.2682861589055925,4.857717113296126,16.060973095513575,0.491862870270503
4,2021-01-05,4.35772,12.95528,14.84959,5.9878,35.78455,10.979671993040807,12.69511996739939,17.3089432777321,15.121950758855721,26.66265517971759,19.634163668164316,6.845502198331195,6.2195097689345324,17.243894742596073,12.69104997399809,2.9227548340458998,6.2154400157784035,5.634153132512788,0.40650422924019125,9.406492939756774,4.983741586970692,13.369896600056334,11.459327807644582,3.772344048537999,7.63411469050936,5.1138138978651035,2.3089376901540133,17.390249054091015,5.402440353379383,3.394303966162475,19.134144873295988,3.61381805053224,2.4512167717834132,5.934953591573878,4.731701831085348,16.922762762688798,0.43088671771862463
5,2021-01-06,4.6504,12.71951,15.18699,6.13414,48.36585,10.784549271549526,12.268290973970275,18.231705849310046,17.256095726001305,27.483770641848526,20.186990420410783,6.670734512195122,5.991844390243902,16.6097517290958,13.308940107228235,2.939021080171515,6.5284483024610065,5.906507809422584,0.5731802928775696,10.325203668794375,6.516270107021429,11.849560026491881,11.349573722489932,3.556870655217302,7.577220259437732,5.589417901306399,1.9268357724765897,17.34554802846529,5.4877956173198665,3.349587945919706,19.0934948698973,3.5731680471335507,2.138209712605086,5.939018991446019,4.361781938667054,18.13414532292161,0.5609673998015445
6,2021-01-07,5.04065,13.28861,15.75203,8.64227,75.46747,11.92276108207639,14.5731696289761,20.048779442661502,17.121949072735276,34.53257381899872,21.772392362002567,7.373954951861361,5.979657390885752,17.130077800210962,16.630074512361205,3.918691506750136,7.764221885993548,6.345538549969758,0.48780272512669276,14.020324052016234,5.995940870587752,11.995912391805788,11.264191320559375,3.4145938222151173,7.2642193778975495,6.71138968327142,2.0325048437740882,17.64229468220223,5.865850747686325,3.105687925527572,20.650403214621836,3.6626000876190887,2.243900737945888,6.012188920849201,4.487797220877832,16.382110612231294,0.7154404811173123
7,2021-01-08,5.20731,11.26829,16.02845,8.41869,82.23577,11.784548428489302,12.361784592321024,18.78048697918967,12.959347273610383,31.654520006418487,23.747996688061615,7.341456286906292,5.630078337612323,17.065032864491727,17.495927996554716,3.9593437562086895,7.707310073337121,5.670723308591663,0.5284519730699442,12.430900731914997,5.605693943262495,10.256067647932037,10.569068529472219,4.040636340618601,7.455280332671036,8.247970799405232,2.1829281878987703,19.62197238528597,6.186984619691974,3.3211359930532574,19.426826930774972,3.666661021942114,2.016254619887963,5.71137598072707,4.260156632924003,17.31707263157482,0.7113750812451709
8,2021-01-09,7.16666,11.17886,16.92276,7.65853,70.72764,11.849590497035619,13.999995981317777,19.53658534737609,15.532519235148264,31.56510499679076,22.422802471116817,8.109761418485238,5.264206270860077,21.69511891193929,20.174792948052357,5.471536597032812,8.577226777598163,5.345529325045656,0.686993471428655,15.04065790091196,5.96748168133746,12.231681936038855,11.91460552218695,4.930854863467848,9.76419165323041,9.30894791209775,2.727647058835231,21.455300155156724,6.418689816845445,3.914632141699382,21.256097413800198,4.548778293744197,2.0975546266853415,6.4227579664586685,4.540644996450549,20.646341972278986,0.8617803399236772
9,2021-01-10,8.58943,12.30894,19.14634,8.26422,56.19918,12.199182905102901,15.890243643857666,22.752032057144344,18.532520190115253,34.54476081835687,20.55286248716303,9.231707936456997,6.012199736842106,24.45934489949382,19.93495603722405,4.516252173787129,9.617878919828486,6.101619483860171,0.5975604102634864,19.215434694174164,6.654463402958431,12.99185022282108,13.589404770365633,4.865809367772779,10.59755650033115,8.174809144599104,2.5691035164878886,18.638230338311278,5.85365713855197,4.280482172287583,24.1991871384874,5.565038543753532,2.422759736395909,7.813003584474977,4.764220184532237,24.227644300169825,0.7601550341806256
