,date,precipitation,avg_temp,lowest_temp,highest_temp,is_rain,is_snow,is_holiday
99,2021-04-10,0.0,10.5,3.6,17.5,False,False,True
100,2021-04-11,0.0,12.9,4.3,20.7,False,False,True
101,2021-04-12,20.8,12.5,10.0,15.9,True,False,False
102,2021-04-13,3.1,11.8,6.3,16.6,True,False,False
103,2021-04-14,0.0,9.0,3.5,15.3,False,False,False
104,2021-04-15,0.0,10.1,2.4,17.6,False,False,False
105,2021-04-16,0.2,11.7,5.5,17.2,True,False,False
106,2021-04-17,0.1,10.3,5.5,16.3,True,False,True
107,2021-04-18,0.0,10.3,5.2,16.1,False,False,True
108,2021-04-19,0.0,13.0,4.0,21.0,False,False,False
109,2021-04-20,0.0,15.2,6.5,24.3,False,False,False
110,2021-04-21,0.0,17.4,8.4,26.4,False,False,False
111,2021-04-22,0.0,18.9,13.1,25.6,False,False,False
112,2021-04-23,0.0,17.3,14.1,21.2,False,False,False
113,2021-04-24,0.0,16.1,11.0,22.4,False,False,True
114,2021-04-25,0.0,14.9,8.6,21.4,False,False,True
115,2021-04-26,0.0,13.7,7.0,20.2,False,False,False
116,2021-04-27,0.3,14.6,8.8,19.9,True,False,False
117,2021-04-28,0.3,15.9,11.4,21.1,True,False,False
118,2021-04-29,1.6,14.7,10.4,20.1,True,False,False
119,2021-04-30,7.5,13.0,9.4,17.4,True,False,False
120,2021-05-01,9.1,10.2,8.1,13.4,True,False,True
121,2021-05-02,1.7,11.9,7.1,18.1,True,False,True
122,2021-05-03,0.0,14.0,6.0,21.4,False,False,False
123,2021-05-04,17.5,15.7,10.8,19.6,True,False,False
124,2021-05-05,1.3,15.1,9.3,20.4,True,False,True
125,2021-05-06,0.0,14.8,5.5,22.5,False,False,False
126,2021-05-07,1.9,15.0,9.4,21.1,True,False,False
127,2021-05-08,0.0,15.4,7.0,22.7,False,False,True
128,2021-05-09,0.0,16.0,9.2,22.7,False,False,True
129,2021-05-10,5.2,13.2,9.8,16.5,True,False,False
130,2021-05-11,2.7,15.9,11.1,21.0,True,False,False
131,2021-05-12,0.0,18.1,11.6,24.9,False,False,False
132,2021-05-13,0.0,19.6,12.1,27.3,False,False,False
133,2021-05-14,0.0,20.8,14.1,27.7,False,False,False
134,2021-05-15,9.2,20.0,17.4,23.3,True,False,True
135,2021-05-16,44.2,18.8,15.6,21.6,True,False,True
136,2021-05-17,4.5,15.2,13.6,17.5,True,False,False
137,2021-05-18,0.2,16.9,13.2,22.5,True,False,False
138,2021-05-19,0.0,19.6,12.9,26.9,False,False,True
139,2021-05-20,11.1,16.4,14.4,19.4,True,False,False
140,2021-05-21,3.1,15.6,13.5,18.5,True,False,False
141,2021-05-22,0.0,18.5,12.2,25.3,False,False,True
142,2021-05-23,0.0,20.2,13.0,27.2,False,False,True
143,2021-05-24,0.3,19.2,14.6,24.5,True,False,False
144,2021-05-25,2.7,15.5,11.1,21.1,True,False,False
145,2021-05-26,0.2,16.7,10.3,22.9,True,False,False
146,2021-05-27,2.7,16.0,12.4,20.9,True,False,False
147,2021-05-28,15.3,15.6,10.7,21.9,True,False,False
148,2021-05-29,0.4,17.3,12.3,23.1,True,False,True
149,2021-05-30,3.5,18.7,11.3,26.0,True,False,True
150,2021-05-31,5.6,19.3,15.0,25.0,True,False,False
151,2021-06-01,0.3,20.4,14.8,26.2,True,False,False
152,2021-06-02,0.0,21.8,16.3,28.2,False,False,False
153,2021-06-03,19.9,18.3,15.4,20.9,True,False,False
154,2021-06-04,1.3,18.8,13.8,24.5,True,False,False
155,2021-06-05,0.0,20.1,13.5,26.2,False,False,True
156,2021-06-06,0.1,21.6,16.5,27.2,True,False,True
157,2021-06-07,0.0,21.7,16.0,27.5,False,False,False
158,2021-06-08,0.1,22.7,17.4,28.9,True,False,False
159,2021-06-09,0.0,23.7,17.8,30.2,False,False,False
160,2021-06-10,4.6,22.9,18.2,27.9,True,False,False
161,2021-06-11,22.9,21.7,19.1,25.7,True,False,False
162,2021-06-12,3.1,23.0,18.8,28.2,True,False,True
163,2021-06-13,0.1,22.9,18.8,28.6,True,False,True
164,2021-06-14,0.0,22.3,18.6,27.2,False,False,False
165,2021-06-15,9.1,21.0,19.4,23.0,True,False,False
166,2021-06-16,2.8,21.5,18.6,24.9,True,False,False
167,2021-06-17,0.7,20.3,17.7,23.6,True,False,False
168,2021-06-18,3.3,20.7,18.3,23.9,True,False,False
169,2021-06-19,0.0,22.0,17.2,27.8,False,False,True
170,2021-06-20,0.0,22.7,16.1,29.4,False,False,True
171,2021-06-21,0.4,22.4,17.5,28.6,True,False,False
172,2021-06-22,5.3,20.8,16.9,25.8,True,False,False
173,2021-06-23,2.7,20.3,17.5,24.3,True,False,False
174,2021-06-24,0.2,21.6,17.5,26.5,True,False,False
175,2021-06-25,2.4,22.6,17.7,28.3,True,False,False
176,2021-06-26,4.3,22.0,19.2,26.4,True,False,True
177,2021-06-27,1.0,23.1,18.3,28.4,True,False,True
178,2021-06-28,2.8,22.9,19.8,27.8,True,False,False
179,2021-06-29,2.9,22.8,18.8,28.1,True,False,False
180,2021-06-30,1.6,23.1,20.0,27.9,True,False,False
181,2021-07-01,0.4,24.4,19.1,30.3,True,False,False
182,2021-07-02,0.3,24.3,20.1,29.4,True,False,False
183,2021-07-03,41.4,22.2,20.2,25.0,True,False,True
184,2021-07-04,19.4,23.2,20.7,26.3,True,False,True
185,2021-07-05,26.0,22.3,19.9,25.5,True,False,False
186,2021-07-06,51.6,23.4,20.6,26.4,True,False,False
