날짜,지점,강수량(mm)
2021-08-30,전국,0.4
2021-08-31,전국,14.5
2021-09-01,전국,38.5
2021-09-02,전국,1.8
2021-09-03,전국,1.1
2021-09-04,전국,0.1
2021-09-05,전국,1.1
2021-09-06,전국,9.7
2021-09-07,전국,11.4
2021-09-08,전국,0.6
2021-09-09,전국,0
2021-09-10,전국,0.5
2021-09-11,전국,0
2021-09-12,전국,0
2021-09-13,전국,0.2
2021-09-14,전국,3
2021-09-15,전국,0.1
2021-09-16,전국,0.9
2021-09-17,전국,15.7
2021-09-18,전국,0.2
2021-09-19,전국,0
2021-09-20,전국,0.1
2021-09-21,전국,25.8
2021-09-22,전국,5.4
2021-09-23,전국,0
2021-09-24,전국,0.6
2021-09-25,전국,1.2
2021-09-26,전국,0.1
2021-09-27,전국,0.1
2021-09-28,전국,0.7
2021-09-29,전국,22.6
2021-09-30,전국,4.4
2021-10-01,전국,1.1
2021-10-02,전국,0.7
2021-10-03,전국,0
2021-10-04,전국,2.5
2021-10-05,전국,1.5
2021-10-06,전국,3.7
2021-10-07,전국,1.5
2021-10-08,전국,1.7
2021-10-09,전국,4.4
2021-10-10,전국,5
2021-10-11,전국,11.6
2021-10-12,전국,3.8
2021-10-13,전국,0.1
2021-10-14,전국,0
2021-10-15,전국,6.3
2021-10-16,전국,6.1
2021-10-17,전국,0
2021-10-18,전국,0.3
2021-10-19,전국,2.5
2021-10-20,전국,0
2021-10-21,전국,0.3
2021-10-22,전국,0.4
2021-10-23,전국,0
2021-10-24,전국,0
2021-10-25,전국,0
2021-10-26,전국,0
2021-10-27,전국,0.2
2021-10-28,전국,0
2021-10-29,전국,0
2021-10-30,전국,0.1
2021-10-31,전국,0.1
2021-11-01,전국,0
2021-11-02,전국,0.3
2021-11-03,전국,0.1
2021-11-04,전국,0.4
2021-11-05,전국,0
2021-11-06,전국,0
2021-11-07,전국,0.1
2021-11-08,전국,22.5
2021-11-09,전국,2.5
2021-11-10,전국,3.2
2021-11-11,전국,1.2
2021-11-12,전국,0.6
2021-11-13,전국,0
2021-11-14,전국,0
2021-11-15,전국,0
2021-11-16,전국,0
2021-11-17,전국,0
2021-11-18,전국,0
2021-11-19,전국,0
2021-11-20,전국,0
2021-11-21,전국,0.6
2021-11-22,전국,2.4
2021-11-23,전국,1.1
2021-11-24,전국,0.2
2021-11-25,전국,0
2021-11-26,전국,0
2021-11-27,전국,0
2021-11-28,전국,0
2021-11-29,전국,0
2021-11-30,전국,22.9
2021-12-01,전국,0.4
2021-12-02,전국,0.1
2021-12-03,전국,0.6
2021-12-04,전국,0
2021-12-05,전국,0
2021-12-06,전국,0
2021-12-07,전국,0.5
2021-12-08,전국,0
2021-12-09,전국,0
2021-12-10,전국,0.4
2021-12-11,전국,0
2021-12-12,전국,0
2021-12-13,전국,0
2021-12-14,전국,0.2
2021-12-15,전국,0.6
2021-12-16,전국,0.6
2021-12-17,전국,0.4
2021-12-18,전국,0.5
2021-12-19,전국,0.5
2021-12-20,전국,0
2021-12-21,전국,0
2021-12-22,전국,0
2021-12-23,전국,0
2021-12-24,전국,0.9
2021-12-25,전국,0.7
2021-12-26,전국,0.2
2021-12-27,전국,0.1
2021-12-28,전국,0
2021-12-29,전국,0.1
2021-12-30,전국,0.4
2021-12-31,전국,0
